,Colorectal male,,,Colorectal female,,,Lung male,,,Lung female,,,Breast cancer female,,,Prostate male,
grid,Expected LE(years),LLE(years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years)
145,20.08774105,4.785812417,,22.03826017,4.469227601,,20.06980731,14.08086737,,22.04383079,12.26900246,,21.98311573,3.074820219,,20.30158508,2.351708013
146,19.30039549,4.434183907,,23.39260255,4.776908929,,19.35134238,12.5153797,,23.52791548,14.02503339,,23.48407468,3.743711509,,19.458421,2.088528225
147,19.98287868,4.624671494,,22.11332841,4.375495521,,20.05240154,12.98723726,,22.17595568,13.38579783,,22.31957379,3.281692261,,20.06709387,2.351662225
148,19.38175514,4.375963411,,21.90419367,4.480265564,,19.48255029,12.78041421,,21.81213979,11.75657373,,21.98643112,3.227695038,,19.54365531,2.118995434
149,19.31986491,4.418026503,,22.31145723,4.32324837,,19.42203723,12.16248059,,22.30435964,12.43535339,,22.43107366,3.356790076,,19.57584,1.989851437
151,19.49515777,4.385460706,,21.87679852,4.137488759,,19.55199966,12.1818943,,21.91769477,12.3994028,,21.87628853,3.246517913,,19.74560411,1.81887824
152,19.27598955,4.355557794,,21.87699574,4.226709134,,19.49949568,12.93263176,,21.9334763,12.17100685,,21.89260362,3.123107662,,19.62427926,1.904516414
153,19.68754546,4.519019206,,23.96058855,4.79849807,,19.60600489,12.10108556,,24.18063763,14.57963997,,24.2367275,3.769011869,,19.9582145,2.132469859
154,19.36033848,4.315709414,,23.04087916,4.683863119,,19.57227693,13.07696155,,23.05915741,13.38514644,,23.0039292,3.5133779,,19.64653049,2.217809835
155,18.80121436,4.106962038,,21.7441857,4.189527231,,18.89151521,12.13486087,,21.65155523,11.13065673,,21.73712996,3.085552641,,18.86966458,1.648819321
156,20.3301452,4.855426327,,22.34364444,4.358413038,,20.05383351,12.82659215,,22.55434301,13.41145842,,22.4505885,3.384091839,,20.48988651,2.319325006
157,18.93286864,4.183130466,,23.07518677,4.612769242,,18.98431316,11.59996308,,23.07821158,12.23222846,,23.35206976,3.491632645,,19.05877707,1.916040125
158,19.95140949,4.480726823,,23.37406868,4.85497947,,20.07731421,12.15877104,,23.50152244,13.1091531,,23.53717119,3.349541002,,20.12372152,2.14429472
159,20.06437837,4.717820285,,23.96633195,5.267646413,,20.24370769,14.11490853,,23.88430934,14.52475625,,24.11745246,3.42722705,,20.0978092,2.275663699
160,19.81287644,4.582128408,,23.22674837,5.001959885,,20.10977638,13.91946283,,23.21248321,14.27115122,,23.3047297,3.274930836,,20.00467353,2.075649761
